library,antibody,concentration,replicate,date,plate,standard_set,retain,fastq
pdmH1N1_lib2022,D002d0,393660,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc10_S88_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,20,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc1_S16_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,60,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc2_S24_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,180,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc3_S32_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,540,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc4_S40_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,1620,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc5_S48_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,4860,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc6_S56_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,14580,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc7_S64_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,43740,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc8_S72_R1_001.fastq.gz
pdmH1N1_lib2022,D002d0,131220,1,230801,Plate1,pdmH1N1_std,TRUE,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230801_VH00319_391_AACWKHTM5/Unaligned/Project_aloes/D002_d0_conc9_S80_R1_001.fastq.gz
